ID,NAME,LINK_ID,tid,tname,m_tid,m_tname
1,经济学入门必读书籍有哪些值得推荐？,19661829,19560170,经济学,19554151,经济学
2,"工科生怎么看懂《经济学人》（The Economist）？",27212373,19609455,金融,19609455,金融
3,"十三五规划（2016-2020）期间的经济局势会比 2015 年的要好么？",37190574,19609455,金融,19609455,金融
4,在什么情况下，公司创始人会被踢出董事局？,32291066,19609455,金融,19609455,金融
5,为什么生意越来越难做？,28403403,19551404,投资,10,金融
6,为什么很多电影特效公司即便得奖后，也依然会面临破产？,23176083,19550429,电影,6,动漫与电影
7,如何高效地阅读财经新闻并将其转化为知识储备？,23077635,19551066,财经,10,金融
8,如何评价吴晓波的文章《最后一个“看门狗”也走了》？,31036826,19551066,财经,10,金融
9,"如何看待浙财大教授@谢作诗 的“低收入者可以几人合找一个老婆”的观点？",36747480,19560170,经济学,10,金融
10,为什么知乎里有的人热衷于批评芮成钢？,20967133,19648459,芮成钢,19648459,芮成钢
11,怎么看待国信证券总裁陈鸿桥自杀？,36793094,19609455,金融,19609455,金融
12,雪球网上有哪些值得关注的用户？,21879482,19551066,财经,10,金融
13,记者内幕调查常用的方法有哪些？查证并突破关键证据有哪些经验？,20033375,19551066,财经,10,金融
14,"为什么《经济学人》（The Economist）几乎期期都有关于中国的内容？西方对中国这么感兴趣么？",19770389,19552981,经济,10,金融
15,如果有一天基层会计岗位不存在了，现在我们能做些什么才不被淘汰？,36866554,19551066,财经,10,金融
16,为什么有些公司盈利很高（比如中国移动，日利润3个亿），股价却涨不起来？,41521932,19551066,财经,10,金融
17,有没有比较好的财经论坛？有很多人讨论时事的那种，请大家推荐一下,22181955,19609455,金融,19609455,金融
18,云掌财经怎么注册？,41436021,19571798,财经媒体,19571798,财经媒体
19,山西的大学确实都是故步自封校风很差的吗？,41156838,19556353,大学,12,教育
20,如何评价艾问传媒的艾诚？,29103802,19551066,财经,10,金融
21,为什么这个世界总是掌握在劣迹斑斑的人手里？,39173116,19558663,"经济学人（The Economist）",10,金融
22,湖北的理科生要考中南财经政法大学高考分需比一本多多少分？,40133812,19553176,教育,12,教育
23,有哪些有趣又专业的财经网站、微信公共号?,23150218,19551066,财经,10,金融
24,如何看待对外经济贸易大学一大一学生文章《同学，听说你要保送了？》？,38727247,19556353,大学,12,教育
25,你心目中的「中国财经类大学排名」应该是怎么样的？,39442410,19556353,大学,12,教育
26,"20140210 期《财经郎眼》疫苗之殇所说问题是否真实？",22721848,19607469,疫苗,19607469,疫苗
27,有没有好玩有趣的网站的集合？,19595234,19574520,财经网站,10,金融
28,罗辑思维、晓松奇谈、鸿观、吴晓波频道、财经郎眼哪个更有深度？,30576900,19630295,财经郎眼,19630295,财经郎眼
29,财经类媒体上经常出现的，金融业内人士最不能忍的常识性错误有哪些？,19980365,19550517,互联网,16,科技
30,"如何看待 21 世纪网涉嫌新闻诈骗一事？此事会对中国目前的「财经公关」行业带来怎样的改变？",25112529,19566933,社会,19566933,社会
31,有哪些经济学家将自己的论文写成了「普及类」书籍？,31580921,19677433,经济学书籍,19677433,经济学书籍
32,学习博弈论，从入门、进阶到精通，如何列书单？,20266302,19560170,经济学,10,金融
33,进入交易市场时，最初的动机是什么？,29429639,19551404,投资,10,金融
34,这次河南能迎头赶上吗？,26418648,19552266,文化,13,语言与文化
35,"2014 年有哪些你读过的经济金融类书籍值得推荐？理由是什么？",27217061,19661861,财经书籍,19661861,财经书籍
36,中粮可乐的经营状况不佳，可口可乐为什么要继续和中粮集团合作？,20738245,19551066,财经,10,金融
37,在这只看钱的社会，微博上抄袭的营销号钱赚的比原作者多，看不起你怎么办？,38685688,19566933,社会,19551147,社会
38,有哪些小众但是质量很高的英文财经网站或订阅源？,27039462,19574520,财经网站,10,金融
39,经济学入门读物哪本比较好？,22567445,19560170,经济学,10,金融
40,一带一路能否对抗TPP?,36205374,19551066,财经,10,金融
41,"在上海财经大学 (SUFE) 就读是一种怎样的体验？",24383965,19556353,大学,12,教育
42,有哪些适合门外汉学习的财经、金融课程或者视频？,29224841,19609455,金融,19609455,金融
43,人民币印了这么多，为什么银行还会发生「钱荒」？,21234062,19551066,财经,10,金融
44,武汉的几所国内知名高校都有什么样的趣闻？,22620331,19689135,中南财经政法大学,19689135,中南财经政法大学
45,在成都上大学是怎样的体验？,27479087,19555944,成都,19555944,成都
46,为什么主力净流出如此巨大，股价却如此稳定而没有大跌？,27030077,19551404,投资,10,金融
